CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
36005003900,Bronx,Bronx,6614,3520,3094,82.0,1.9,16.1,0.0,0.0,2569,25990.0,6323.0,14559.0,2790.0,30.2,35.7,9.3,43.8,12.7,10.2,24.0,3.4,1.1,83.6,6.5,0.6,4.8,42.9,2729,88.2,3.4,8.2,0.3,9.3
36005004001,Bronx,Bronx,1419,675,744,51.3,11.2,10.8,0.0,21.6,936,48056.0,6057.0,22652.0,3344.0,16.6,28.6,18.1,17.9,42.7,9.5,11.8,31.0,3.0,62.9,3.2,0.0,0.0,47.4,602,81.9,16.9,1.2,0.0,6.8
36005004100,Bronx,Bronx,6476,3125,3351,75.8,0.5,23.4,0.0,0.2,3809,18636.0,3658.0,10877.0,4758.0,53.3,67.4,8.9,48.1,30.3,8.3,4.4,6.7,0.5,75.1,16.2,0.7,0.8,43.5,1734,81.3,13.4,5.3,0.0,19.2
36005004200,Bronx,Bronx,7120,3147,3973,46.5,5.1,47.0,0.0,0.8,5248,25741.0,7845.0,13846.0,1947.0,40.5,56.4,26.3,32.0,23.9,6.6,11.1,19.4,2.7,68.9,7.2,1.0,1.0,48.5,2094,71.8,24.2,3.4,0.6,21.0
36005004300,Bronx,Bronx,6057,3094,2963,74.1,0.4,23.4,0.0,0.0,3032,21448.0,3092.0,11828.0,1525.0,46.6,55.2,14.4,39.1,22.3,10.1,14.0,13.4,2.6,66.4,12.6,1.0,4.0,39.6,2026,76.8,12.2,11.0,0.0,15.6
36005004400,Bronx,Bronx,4754,2081,2673,60.6,2.4,35.2,0.0,1.7,3153,22719.0,2899.0,12126.0,1669.0,34.8,46.6,16.3,30.4,38.2,4.1,11.0,15.9,5.6,72.4,2.5,0.8,2.8,43.2,1446,79.3,19.3,1.4,0.0,26.1
36005004600,Bronx,Bronx,1869,845,1024,59.7,3.0,36.6,0.4,0.0,1182,40950.0,10707.0,19260.0,4463.0,25.5,37.1,23.6,38.4,21.2,5.9,10.9,35.3,8.3,47.1,9.3,0.0,0.0,33.7,589,68.6,23.3,8.1,0.0,13.4
36005004800,Bronx,Bronx,3999,2154,1845,71.7,1.2,23.8,0.0,2.4,1499,30301.0,4692.0,13968.0,2096.0,33.2,41.9,15.7,37.8,19.9,12.1,14.5,14.0,5.0,71.0,6.6,0.0,3.4,42.1,1577,84.0,8.1,8.0,0.0,14.0
36005005001,Bronx,Bronx,4885,2313,2572,58.4,0.0,36.8,0.0,0.0,2288,27456.0,9296.0,15334.0,2365.0,34.4,50.2,12.3,36.9,24.5,15.6,10.6,14.7,4.3,69.6,8.0,0.0,3.3,48.2,1919,78.0,16.3,3.1,2.6,14.5
36005005002,Bronx,Bronx,5650,2867,2783,73.2,0.4,17.1,1.4,0.2,1995,28039.0,5380.0,12990.0,1906.0,45.6,60.7,5.4,43.4,19.8,18.5,12.9,5.4,3.4,75.1,10.4,2.3,3.3,48.2,2647,93.3,2.1,4.6,0.0,13.3
36005005100,Bronx,Bronx,5653,2256,3397,69.7,0.1,28.1,2.1,0.0,3360,18633.0,2086.0,10602.0,1444.0,49.4,70.1,15.5,52.9,17.3,6.4,7.9,2.4,2.0,92.2,2.5,0.5,0.5,43.6,1631,77.9,19.0,2.7,0.4,22.6
36005005200,Bronx,Bronx,2277,1028,1249,69.7,0.5,26.7,0.0,2.9,1344,17756.0,3843.0,15123.0,4609.0,49.3,57.8,23.1,29.6,22.3,13.2,11.7,14.0,3.7,54.0,12.0,7.3,9.0,43.2,749,81.6,9.6,8.8,0.0,13.5
36005005300,Bronx,Bronx,3727,1514,2213,44.1,3.0,50.7,0.5,0.2,2053,17719.0,4121.0,10031.0,1557.0,54.7,70.0,17.2,38.0,20.8,10.6,13.4,11.0,4.4,78.7,3.6,2.4,0.0,56.8,990,85.1,14.9,0.0,0.0,23.7
36005005400,Bronx,Bronx,6219,3163,3056,71.7,0.0,21.0,0.0,1.8,2699,27380.0,6078.0,14711.0,2106.0,41.7,55.8,11.9,32.3,22.3,18.8,14.7,15.0,3.1,67.9,5.6,4.5,3.9,41.3,2600,81.5,7.2,11.3,0.0,8.9
36005005600,Bronx,Bronx,2468,1084,1384,66.4,1.0,24.4,0.0,1.8,1296,17771.0,4860.0,13596.0,2014.0,38.0,52.0,21.1,33.0,23.8,10.7,11.4,17.6,7.4,65.0,8.7,0.0,1.3,40.0,821,87.3,10.2,2.4,0.0,16.8
36005005902,Bronx,Bronx,3131,1460,1671,70.4,1.8,23.1,2.6,1.3,1829,38542.0,6531.0,19604.0,4834.0,26.9,18.3,21.2,41.2,17.7,9.8,10.1,13.6,2.6,66.5,8.6,0.1,8.7,40.1,1205,70.5,23.2,6.2,0.0,14.2
36005006000,Bronx,Bronx,1256,591,665,69.4,4.1,21.4,0.0,1.8,679,41190.0,4642.0,15989.0,2949.0,35.2,46.8,20.7,39.8,21.3,2.9,15.3,25.9,4.7,61.2,3.5,0.0,4.7,40.4,522,75.1,18.4,6.5,0.0,11.1
36005006100,Bronx,Bronx,3706,1484,2222,16.8,2.1,77.1,0.0,0.5,3232,48298.0,9993.0,31379.0,3023.0,9.8,7.7,35.0,30.0,27.9,1.7,5.4,27.0,0.8,64.5,7.7,0.0,0.0,37.5,1581,61.0,37.6,1.4,0.0,7.8
36005006200,Bronx,Bronx,7610,3790,3820,69.6,0.0,30.2,0.0,0.2,3811,24480.0,5909.0,12152.0,1646.0,34.7,55.0,14.5,36.2,21.3,21.0,7.0,17.6,0.4,66.7,5.2,3.1,7.1,41.6,2749,75.6,12.5,12.0,0.0,11.4
36005006300,Bronx,Bronx,4431,2394,2037,69.1,3.7,20.6,0.8,5.0,2523,32064.0,4061.0,19243.0,2473.0,27.7,45.0,19.9,25.9,33.4,5.4,15.5,12.9,0.8,73.3,10.4,2.7,0.0,41.4,2032,80.0,13.9,6.1,0.0,12.8
36005006400,Bronx,Bronx,3590,1755,1835,54.8,8.3,31.8,0.0,1.1,2288,30726.0,8555.0,15846.0,3083.0,41.1,63.9,25.4,18.7,40.5,9.9,5.5,32.0,0.8,63.8,0.7,0.6,2.1,46.7,1459,79.4,13.0,7.5,0.0,12.2
36005006500,Bronx,Bronx,5487,2557,2930,60.5,4.8,32.7,0.0,1.4,2858,21384.0,5108.0,11967.0,1760.0,44.2,63.3,10.5,44.1,30.3,4.1,11.1,3.3,0.0,73.5,18.1,0.0,5.1,35.9,2168,85.2,10.7,4.1,0.0,11.6
36005006700,Bronx,Bronx,7421,3353,4068,66.3,1.8,29.4,0.5,0.0,3192,21016.0,4709.0,13243.0,6074.0,47.1,67.1,12.9,35.4,26.3,6.1,19.3,7.8,0.8,62.9,17.9,4.9,5.7,46.2,2413,81.8,9.9,8.3,0.0,14.6
36005006800,Bronx,Bronx,3288,1866,1422,59.1,3.1,29.5,0.0,4.2,1474,47232.0,11781.0,17178.0,2623.0,22.5,33.9,16.1,40.2,22.0,14.7,6.9,25.6,5.8,58.5,5.1,3.9,1.1,42.9,1370,84.2,12.6,3.3,0.0,12.5
36005006900,Bronx,Bronx,8554,3740,4814,58.8,2.5,36.1,0.0,1.3,4349,19741.0,7359.0,12111.0,1804.0,44.0,48.5,18.0,37.7,25.6,5.2,13.5,15.5,3.9,63.8,12.0,0.0,4.9,38.3,2617,80.0,14.6,5.4,0.0,16.7
36005007000,Bronx,Bronx,4568,2172,2396,64.1,2.3,25.0,0.7,5.1,2211,34191.0,7201.0,14602.0,1614.0,30.1,55.3,16.4,34.3,22.6,14.1,12.6,14.2,4.5,72.5,3.9,0.9,4.0,45.4,1877,84.8,12.6,2.6,0.0,11.8
36005007100,Bronx,Bronx,2547,1080,1467,60.7,1.1,36.4,0.0,0.9,1783,38289.0,6810.0,18245.0,3123.0,28.8,37.8,26.7,23.4,27.6,14.4,7.8,19.2,0.5,68.3,9.4,1.2,1.4,44.4,1011,78.2,19.8,2.0,0.0,16.5
36005007200,Bronx,Bronx,5822,2924,2898,50.4,6.2,15.3,0.0,22.2,2631,37634.0,8074.0,14985.0,2146.0,33.4,48.0,19.9,30.9,26.7,12.0,10.6,29.4,0.9,60.1,5.0,2.2,2.3,42.2,2307,84.8,9.3,5.9,0.0,7.4
36005007300,Bronx,Bronx,3761,1866,1895,63.0,2.0,33.9,0.1,0.0,1690,18358.0,5706.0,9872.0,1662.0,50.7,60.0,10.1,47.9,26.3,4.8,10.9,12.2,1.9,61.8,9.5,2.6,12.0,46.2,1127,91.2,5.3,3.5,0.0,20.2
36005007400,Bronx,Bronx,3635,1744,1891,72.8,1.5,25.5,0.0,0.2,2675,44455.0,7777.0,22275.0,2702.0,19.3,40.6,33.9,30.7,23.1,2.8,9.6,40.8,6.8,46.4,3.3,0.0,2.7,45.4,1630,74.7,23.9,1.5,0.0,7.1
36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452.0,5317.0,13290.0,1603.0,31.7,43.5,19.5,40.5,25.1,6.5,8.4,18.6,3.8,63.1,10.1,1.8,2.7,38.8,2017,78.7,15.2,6.1,0.0,8.5
36005007600,Bronx,Bronx,5587,2681,2906,63.7,3.3,19.4,1.5,9.3,2686,33465.0,6930.0,15194.0,1990.0,34.6,50.3,14.4,29.8,24.1,15.0,16.7,26.7,5.8,61.0,3.2,1.0,2.3,39.4,2316,87.4,7.9,3.5,1.2,9.4
36005007700,Bronx,Bronx,1933,879,1054,70.8,2.5,26.3,0.4,0.0,1118,26486.0,7002.0,13724.0,2428.0,37.8,52.5,20.3,27.9,31.4,10.4,9.9,15.5,10.4,60.2,8.3,2.5,3.1,40.2,684,79.1,12.1,7.9,0.9,13.6
36005007800,Bronx,Bronx,6518,3023,3495,66.2,4.4,15.8,0.0,11.7,3619,30437.0,12004.0,14343.0,1891.0,31.0,40.9,18.8,31.6,33.5,4.7,11.4,21.5,10.2,57.6,5.6,1.9,3.1,37.6,2415,86.0,7.3,6.7,0.0,15.7
36005007900,Bronx,Bronx,6420,3118,3302,77.6,0.1,21.6,0.0,0.0,3204,24278.0,9630.0,13513.0,2921.0,44.7,63.0,12.2,35.8,25.7,5.3,21.0,13.8,0.0,71.0,10.0,1.1,4.1,41.1,2204,80.3,9.2,10.5,0.0,14.4
36005008300,Bronx,Bronx,6882,3348,3534,79.1,0.4,15.6,0.0,4.2,3333,19818.0,8210.0,11959.0,1709.0,41.9,55.1,18.1,40.4,26.2,5.4,9.9,10.5,2.4,74.2,6.2,3.2,3.5,42.1,2354,89.8,4.6,5.3,0.3,14.1
36005008400,Bronx,Bronx,2289,1069,1220,60.8,1.5,30.1,0.9,3.4,1538,60135.0,8334.0,23698.0,4110.0,13.6,23.7,27.3,27.9,28.7,6.5,9.5,36.6,5.2,54.2,4.0,0.0,0.0,41.8,1039,79.2,17.7,3.1,0.0,10.2
36005008500,Bronx,Bronx,5959,3196,2763,77.4,1.0,19.5,0.0,1.0,2988,27174.0,7981.0,12216.0,1583.0,39.3,41.9,15.4,36.2,27.8,7.8,12.8,13.1,3.4,66.7,11.7,3.2,1.9,37.9,2188,82.8,5.3,9.8,2.1,15.1
36005008600,Bronx,Bronx,3874,1668,2206,69.2,0.4,24.9,0.0,4.9,2596,23045.0,6048.0,12513.0,1714.0,39.1,49.1,17.3,42.9,18.4,7.0,14.4,17.9,5.2,61.7,14.6,0.0,0.6,46.2,1295,82.8,13.1,4.1,0.0,9.4
36005008700,Bronx,Bronx,6002,2843,3159,76.9,2.2,20.5,0.0,0.0,3246,29188.0,5168.0,14050.0,1567.0,30.4,36.2,16.1,39.0,25.7,7.1,12.1,9.5,4.0,70.7,7.5,2.3,6.0,44.5,2236,80.6,15.2,4.2,0.0,8.3
36005008900,Bronx,Bronx,3438,1661,1777,79.9,1.6,16.6,0.5,1.4,1672,20849.0,7996.0,11550.0,1928.0,32.5,26.8,15.9,41.7,21.1,7.4,13.9,11.7,4.9,67.7,10.4,1.1,4.1,44.3,1162,83.4,11.3,5.3,0.0,6.5
36005009000,Bronx,Bronx,3476,1681,1795,66.5,3.3,24.6,0.0,4.7,2354,27000.0,12365.0,19161.0,5914.0,36.7,48.8,31.0,24.9,34.6,5.3,4.2,36.4,6.5,47.8,4.8,0.0,4.4,43.8,1075,78.5,17.6,3.9,0.0,14.6
36005009200,Bronx,Bronx,5622,2578,3044,60.9,2.8,14.2,0.0,17.8,3260,35227.0,8725.0,18825.0,2909.0,21.3,28.2,24.3,29.6,26.5,5.9,13.7,13.2,8.1,67.9,6.7,3.8,0.4,48.4,2235,77.0,16.8,6.1,0.0,18.6
36005009300,Bronx,Bronx,6517,3675,2842,72.6,1.2,25.8,0.1,0.0,3353,30159.0,4279.0,11783.0,1621.0,40.7,49.7,16.5,34.1,22.0,14.4,13.0,24.0,2.3,45.4,23.3,1.1,3.9,40.1,2021,87.2,6.7,6.1,0.0,9.5
36005009600,Bronx,Bronx,2562,1255,1307,57.3,6.8,20.2,0.0,14.9,1565,41250.0,7688.0,17217.0,2647.0,15.6,10.6,19.7,40.3,21.2,3.4,15.2,22.4,7.2,52.4,12.2,2.0,3.7,38.0,932,70.9,19.8,9.2,0.0,17.1
36005009800,Bronx,Bronx,5041,2165,2876,70.1,2.8,21.9,0.0,2.9,3570,57438.0,12832.0,24276.0,3162.0,23.3,41.2,34.9,21.3,24.6,8.1,11.1,39.7,6.4,49.8,3.1,1.0,0.0,48.3,2290,69.1,25.9,4.9,0.0,12.7
36005011000,Bronx,Bronx,153,79,74,100.0,0.0,0.0,0.0,0.0,141,,,29025.0,12332.0,20.9,0.0,30.5,28.4,25.3,0.0,15.8,42.1,0.0,44.2,0.0,0.0,13.7,,95,46.3,53.7,0.0,0.0,12.8
36005011502,Bronx,Bronx,4566,2058,2508,67.4,0.5,30.8,0.1,1.1,2087,21765.0,5551.0,10986.0,2596.0,47.6,56.7,13.7,39.8,18.4,10.4,17.7,17.3,2.8,65.3,11.5,0.5,2.7,40.5,1332,84.6,7.0,8.4,0.0,18.5
36005011700,Bronx,Bronx,1603,787,816,72.1,2.1,25.9,0.0,0.0,991,25483.0,7151.0,14854.0,2448.0,33.4,42.2,13.0,37.2,24.3,9.2,16.3,13.3,7.3,55.3,18.4,0.0,5.6,38.3,608,87.7,10.5,1.8,0.0,16.8
36005011800,Bronx,Bronx,5364,3208,2156,20.1,73.1,1.7,0.0,4.2,4210,83077.0,11253.0,28379.0,2907.0,11.3,11.3,38.9,19.5,27.6,3.9,10.0,52.6,13.4,25.6,4.4,0.8,3.1,34.7,2315,74.2,24.4,1.4,0.0,7.0
36005011900,Bronx,Bronx,5603,2678,2925,68.8,0.3,28.1,0.4,0.0,2961,22097.0,5308.0,13201.0,4619.0,39.3,46.3,18.6,48.3,18.3,4.4,10.3,7.1,3.0,76.8,5.5,0.6,7.0,44.3,1866,82.9,13.2,3.9,0.0,15.6
36005012101,Bronx,Bronx,3057,1466,1591,72.8,3.4,21.8,0.0,1.1,1467,27813.0,4935.0,11175.0,1384.0,43.1,48.5,14.2,35.7,25.5,9.8,14.8,14.4,3.1,77.7,1.6,0.3,2.7,46.4,1259,80.5,16.9,2.5,0.0,10.6
36005012102,Bronx,Bronx,1835,762,1073,81.9,0.9,16.1,0.0,0.0,1132,20028.0,4672.0,8603.0,1677.0,49.6,61.0,11.0,37.1,32.2,6.3,13.5,15.7,5.2,70.2,8.9,0.0,0.0,44.1,510,87.1,8.6,4.3,0.0,17.7
36005012300,Bronx,Bronx,4379,2073,2306,66.3,0.5,28.0,0.0,0.7,2386,21300.0,9643.0,15115.0,5578.0,45.1,59.5,22.8,31.4,29.9,8.6,7.2,12.5,1.8,69.6,9.8,1.7,4.5,43.3,1520,93.5,4.5,2.0,0.0,10.6
36005012500,Bronx,Bronx,4272,2125,2147,71.0,1.4,22.1,1.7,2.0,2119,26348.0,2834.0,14459.0,2055.0,42.9,57.0,30.8,26.8,14.2,7.9,20.3,21.5,3.7,61.6,6.0,4.1,3.0,39.3,1421,74.5,14.1,9.7,1.7,13.5
36005012701,Bronx,Bronx,1992,791,1201,78.3,2.1,16.1,0.3,2.8,1271,18641.0,3928.0,11700.0,1884.0,49.4,59.9,17.4,34.3,27.3,8.8,12.2,4.4,4.3,72.2,16.9,1.7,0.5,39.7,656,83.4,14.8,1.8,0.0,9.0
36005012901,Bronx,Bronx,4017,1821,2196,58.1,2.5,36.1,0.0,2.4,2344,18269.0,4443.0,9415.0,1262.0,48.9,54.1,6.7,49.6,30.4,6.9,6.3,7.9,3.2,75.6,7.4,0.0,5.8,43.4,995,88.6,10.2,1.2,0.0,14.1
36005013000,Bronx,Bronx,1364,637,727,41.2,55.1,1.5,0.0,0.0,1118,77917.0,19751.0,33654.0,5735.0,5.7,3.2,23.4,15.1,36.1,12.3,13.0,52.1,14.6,30.4,0.9,0.0,2.0,39.2,747,76.3,22.8,0.9,0.0,6.7
36005013100,Bronx,Bronx,4685,2261,2424,71.4,0.8,24.3,0.0,1.8,2428,25271.0,7236.0,12742.0,1342.0,35.5,37.7,18.2,31.4,35.8,5.1,9.5,16.5,2.7,67.2,6.0,2.7,4.9,42.8,1686,80.5,9.2,10.3,0.0,11.5
36005013200,Bronx,Bronx,7426,3706,3720,50.0,31.3,10.7,0.0,3.8,5755,96701.0,6298.0,38669.0,4873.0,7.0,15.8,38.5,23.6,25.2,5.9,6.9,54.0,6.8,30.6,7.0,1.6,0.0,41.4,3797,73.2,24.3,2.5,0.0,7.5
36005013300,Bronx,Bronx,7284,3419,3865,69.8,1.0,28.8,0.0,0.0,4211,25282.0,8305.0,13793.0,1895.0,25.5,26.4,13.4,44.1,21.2,1.3,20.0,18.9,3.5,62.0,5.3,8.2,2.1,36.5,2479,72.7,13.6,13.8,0.0,15.0
36005013500,Bronx,Bronx,3908,1697,2211,62.0,1.3,32.2,0.8,0.0,2225,23279.0,5337.0,14125.0,1761.0,40.2,55.9,16.5,43.5,16.8,7.2,16.0,19.0,0.9,68.2,6.8,3.5,1.6,41.6,1244,75.4,18.4,6.2,0.0,12.3
36005013800,Bronx,Bronx,2989,1451,1538,21.6,67.4,4.9,0.0,4.9,2234,79773.0,16378.0,39479.0,5942.0,5.5,0.0,31.5,13.2,28.0,10.2,17.2,59.1,12.6,24.5,1.7,0.0,2.2,35.6,1420,72.7,22.2,5.1,0.0,7.9
36005014100,Bronx,Bronx,5355,2435,2920,61.2,0.8,36.2,0.0,0.9,2821,32500.0,6835.0,20805.0,7504.0,26.2,31.6,21.2,37.0,24.5,4.2,13.1,15.1,2.2,70.6,10.1,0.0,2.0,43.8,2163,88.3,8.9,1.9,0.9,13.1
36005014300,Bronx,Bronx,968,454,514,46.2,5.4,42.1,1.0,4.2,505,12000.0,5279.0,9332.0,1813.0,52.2,46.6,12.0,59.8,15.7,2.4,10.0,7.8,0.0,73.1,10.5,4.6,4.1,39.7,249,94.0,4.4,1.6,0.0,17.8
36005014400,Bronx,Bronx,6049,2208,3841,58.7,1.8,35.3,0.0,3.6,3745,19418.0,3697.0,15457.0,2859.0,46.4,56.2,16.9,42.3,27.2,6.0,7.5,31.4,4.4,55.7,6.3,1.7,0.4,58.5,1789,74.0,24.6,1.5,0.0,19.7
36005014500,Bronx,Bronx,7360,3082,4278,60.3,0.8,36.3,1.1,0.2,3532,22711.0,11074.0,9229.0,1404.0,50.4,58.6,12.7,48.4,21.2,4.3,13.5,13.6,8.7,69.0,8.7,0.0,0.0,52.4,1952,75.7,21.3,3.0,0.0,21.5
36005014701,Bronx,Bronx,7023,3129,3894,52.8,1.2,45.6,0.0,0.0,3729,14334.0,4251.0,8401.0,1956.0,61.0,68.3,13.1,53.7,23.0,4.8,5.4,9.2,1.3,78.7,8.2,0.0,2.6,46.0,1735,74.4,22.0,3.6,0.0,24.8
36005014702,Bronx,Bronx,5243,2148,3095,59.4,0.4,39.0,0.0,0.0,2899,17782.0,2306.0,7962.0,1099.0,57.8,79.0,12.4,51.2,23.5,3.8,9.1,4.8,1.3,80.9,10.0,0.8,2.2,44.9,1436,88.6,9.8,1.5,0.0,19.7
36005014900,Bronx,Bronx,4348,2140,2208,59.1,2.3,35.2,0.0,0.2,2399,27212.0,7590.0,12449.0,1544.0,48.5,53.8,17.6,34.2,25.2,11.6,11.3,32.7,4.3,52.9,2.9,3.1,4.2,41.6,1430,77.0,11.0,12.0,0.0,18.1
36005015100,Bronx,Bronx,5458,2625,2833,56.9,1.3,40.4,0.0,0.0,2673,30339.0,4993.0,14429.0,1642.0,28.2,37.6,21.9,43.5,16.0,10.0,8.6,21.3,4.3,58.6,6.1,8.0,1.8,42.4,1935,82.2,14.3,3.5,0.0,10.4
36005015200,Bronx,Bronx,2803,1375,1428,60.7,26.0,6.0,0.0,4.5,1973,70162.0,5637.0,28665.0,4433.0,14.0,20.6,27.6,27.4,27.1,5.8,12.2,41.5,19.0,33.0,3.5,1.3,1.7,36.3,1349,71.6,24.3,4.1,0.0,8.5
36005015300,Bronx,Bronx,4466,1925,2541,52.6,0.7,45.5,0.0,0.9,2225,19630.0,5355.0,12812.0,2241.0,50.8,69.3,22.5,35.3,25.4,5.3,11.4,16.3,2.0,71.1,7.4,1.9,1.5,43.7,1539,83.0,13.8,3.1,0.0,15.1
36005015500,Bronx,Bronx,3178,1319,1859,80.6,0.5,17.1,0.0,1.1,1642,21136.0,2778.0,10488.0,1925.0,51.7,64.2,13.5,39.7,27.5,6.5,12.8,17.5,1.7,72.7,7.4,0.6,0.0,45.0,844,84.6,9.2,5.2,0.9,31.1
36005015700,Bronx,Bronx,4054,1666,2388,66.4,1.0,30.8,0.0,0.4,2026,33785.0,6549.0,16223.0,3145.0,26.7,34.2,17.3,31.9,19.9,19.3,11.6,16.5,1.9,71.5,8.4,0.2,1.4,42.8,1808,73.0,18.2,8.8,0.0,22.6
36005015800,Bronx,Bronx,1202,529,673,49.6,36.7,6.3,0.0,3.0,850,77045.0,10438.0,32964.0,5646.0,11.5,10.4,36.7,22.6,25.9,6.3,8.5,43.4,6.9,38.3,4.4,3.9,3.2,40.8,567,78.3,16.8,4.9,0.0,7.5
36005015900,Bronx,Bronx,1420,528,892,91.2,0.5,6.8,0.0,1.5,929,16027.0,5922.0,12878.0,2925.0,51.0,57.4,38.3,34.7,22.1,0.0,4.9,19.7,0.0,67.6,11.0,0.0,1.6,46.3,426,84.5,15.3,0.2,0.0,13.1
